date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:52	562/562	---M--	200	added ('OK')	text/html	etag:%22232-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:52	558/558	---M--	200	added ('OK')	text/html	etag:%2222e-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-3.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-3.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:53	572/572	---M--	200	added ('OK')	text/html	etag:%2223c-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-4.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-4.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:53	570/570	---M--	200	added ('OK')	text/html	etag:%2223a-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-5.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/justify-content-5.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:53	898/898	---M--	200	added ('OK')	text/html	etag:%22382-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:53	894/894	---M--	200	added ('OK')	text/html	etag:%2237e-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:53	890/890	---M--	200	added ('OK')	text/html	etag:%2237a-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-3.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-3.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:54	892/892	---M--	200	added ('OK')	text/html	etag:%2237c-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-4.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-4.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:54	933/933	---M--	200	added ('OK')	text/html	etag:%223a5-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-5.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-items-5.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:54	975/975	---M--	200	added ('OK')	text/html	etag:%223cf-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
